0;	0
0,54;	16,28
1,17;	32,39
1,91;	48,87
2,62;	62,49
3,53;	77,2
4,64;	91,93
5,78;	105,59
6,81;	114,61
7,91;	123,62
9,12;	132,3
10,36;	140,61
11,93;	150,03
