0,0000; 6,5706e-9
1,6077; 4,6923e-9
4,4678; 3,6023e-9
7,0740; 2,8710e-9
10,289; 2,3965e-9
11,254; 2,0517e-9
11,897; 1,8025e-9
13,949; 1,6725e-9
16,462; 1,5172e-9
18,975; 1,4009e-9
21,488; 1,3066e-9
24,002; 1,2166e-9
26,515; 1,1234e-9
29,028; 1,0533e-9
31,541; 1,0065e-9
34,054; 9,5446e-10
44,106; 8,4744e-10
46,815; 8,2044e-10
54,159; 7,5362e-10
56,672; 7,5362e-10
59,185; 7,4782e-10
71,852; 6,5816e-10
74,106; 6,5301e-10
76,777; 6,5692e-10
79,290; 6,5107e-10
81,898; 6,5285e-10
84,262; 6,4028e-10
91,856; 6,0662e-10
94,369; 6,0195e-10
96,882; 5,9932e-10
109,45; 5,5437e-10
111,96; 5,4872e-10
114,47; 5,4132e-10
116,99; 5,3805e-10
119,50; 5,3124e-10
122,01; 5,2803e-10
124,53; 5,2135e-10
127,04; 5,1864e-10
129,55; 5,1207e-10
132,07; 5,0941e-10
134,58; 5,0337e-10
137,09; 5,0034e-10
139,60; 4,9483e-10
142,12; 4,9308e-10
144,63; 4,8684e-10
147,30; 4,7372e-10
157,00; 4,6523e-10
182,33; 4,3177e-10
184,84; 4,3097e-10
187,35; 4,2837e-10
190,03; 4,3233e-10
192,38; 4,3853e-10
194,89; 4,3988e-10
197,19; 4,3300e-10
199,87; 4,1864e-10
